#{"t_start": 1707321222.3920522, "env_id": "MiniGrid-Empty-5x5-v0"}
r,l,t
0.946,6,61.014005
0.946,6,61.023088
0.892,12,61.040287
0.883,13,61.058369
0.955,5,61.065758
0.937,7,61.078119
0.928,8,61.094532
0.955,5,61.105558
0.946,6,61.114802
0.937,7,61.125222
0.955,5,61.132678
0.946,6,61.141899
0.955,5,61.149132
0.955,5,61.156944
0.955,5,61.164075
0.955,5,61.171463
0.937,7,61.181779
0.937,7,61.195697
0.937,7,61.207294
0.937,7,61.218551
0.946,6,61.227227
0.928,8,61.238699
0.937,7,61.248732
0.946,6,61.257165
0.928,8,61.268765
0.856,16,61.290396
0.955,5,61.300453
0.946,6,61.312239
0.955,5,61.319906
0.955,5,61.32747
0.955,5,61.33453
0.892,12,61.351534
0.946,6,61.359731
0.955,5,61.36665
0.946,6,61.375416
0.946,6,61.38362
0.937,7,61.393021
0.955,5,61.403112
0.955,5,61.411422
0.937,7,61.421929
0.919,9,61.435693
0.937,7,61.446934
0.955,5,61.454694
0.955,5,61.461825
0.946,6,61.470545
0.955,5,61.47755
0.919,9,61.49015
0.946,6,61.49884
0.946,6,61.511607
0.955,5,61.520089
0.955,5,61.528341
0.955,5,61.535497
0.937,7,61.546194
0.946,6,61.55654
0.946,6,61.566476
0.946,6,61.575377
0.946,6,61.58397
0.928,8,61.595676
0.937,7,61.609096
0.919,9,61.625127
0.928,8,61.636811
0.946,6,61.645395
0.946,6,61.655031
0.955,5,61.662326
0.937,7,61.674916
0.892,12,61.691614
0.955,5,61.698777
0.946,6,61.707283
0.928,8,61.723173
0.901,11,61.740833
0.955,5,61.747916
0.937,7,61.758472
0.946,6,61.768538
0.946,6,61.779923
0.946,6,61.788818
0.928,8,61.799938
0.901,11,61.818285
0.946,6,61.828427
0.946,6,61.838378
0.946,6,61.847209
0.955,5,61.854687
0.955,5,61.861758
0.928,8,61.873788
0.946,6,61.882193
0.955,5,61.889565
0.937,7,61.899267
0.955,5,61.907685
0.946,6,61.923336
0.955,5,61.932789
0.928,8,61.946312
0.946,6,61.955106
0.955,5,61.962263
0.955,5,61.969275
0.946,6,61.978061
0.955,5,61.985543
0.946,6,61.993943
0.892,12,62.010508
0.901,11,62.031895
0.946,6,62.043005
0.946,6,62.052502
0.928,8,62.067499
0.955,5,62.074924
0.955,5,62.083386
0.955,5,62.091198
0.919,9,62.107553
0.919,9,62.121912
0.937,7,62.137417
0.955,5,62.145787
0.955,5,62.153465
0.955,5,62.160821
0.946,6,62.169602
0.946,6,62.17808
0.937,7,62.188194
0.937,7,62.197979
0.892,12,62.214751
0.937,7,62.224903
0.937,7,62.238444
0.955,5,62.246942
0.946,6,62.256795
0.955,5,62.263942
0.955,5,62.271256
0.946,6,62.279651
0.946,6,62.288053
